name	type	units	status	status_description
FP1	EEG	microV	good	n/a
FPz	EEG	microV	good	n/a
FP2	EEG	microV	good	n/a
F7	EEG	microV	good	n/a
F3	EEG	microV	good	n/a
Fz	EEG	microV	good	n/a
F4	EEG	microV	good	n/a
F8	EEG	microV	good	n/a
FT9	EEG	microV	good	n/a
FC5	EEG	microV	good	n/a
FC1	EEG	microV	good	n/a
FC2	EEG	microV	good	n/a
FC6	EEG	microV	good	n/a
FT10	EEG	microV	good	n/a
T7	EEG	microV	good	n/a
C3	EEG	microV	good	n/a
Cz	EEG	microV	good	n/a
C4	EEG	microV	good	n/a
T8	EEG	microV	good	n/a
TP9	EEG	microV	good	n/a
CP5	EEG	microV	good	n/a
CP1	EEG	microV	good	n/a
CP2	EEG	microV	good	n/a
CP6	EEG	microV	good	n/a
TP10	EEG	microV	good	n/a
P7	EEG	microV	good	n/a
P3	EEG	microV	good	n/a
Pz	EEG	microV	good	n/a
P4	EEG	microV	good	n/a
P8	EEG	microV	good	n/a
O1	EEG	microV	good	n/a
O2	EEG	microV	good	n/a
GSR	GSR	microV	good	n/a
ECG	ECG	microV	good	n/a
VA1	UserReport	microV	good	A user report of their current felt valence. This ranges from 0-9; 0 indicates low valence, 9 indicates high valence, 4.5 indicates the neutral position. Ratings were supplied continuously during the experiment via the FEELTRACE interface.
VA2	UserReport	microV	good	A user report of their current felt arousal. This ranges from 0-9; 0 indicates low arousal, 9 indicates high arousal, 4.5 indicates the neutral position. Ratings were supplied continuously during the experiment via the FEELTRACE interface.
VAtarg	MetaData	microV	good	The affective state targetted by the music played to the participant. This ranges from 0-9: 1 indicates low valence, low arousal; 2 = neutral valence, low arousal; 3 = high valence, low arousal; 4 = low valence, neutral arousal; 5 = neutral valence, neutral arousal; 6 = high valence, neutral arousal; 7 = low valence, high arousal; 8 = neutral valence, high arousal; 9 = high valence, high arousal;
